Japanese,GoogleTranslation,English,ShouldPatch
ビーストマン,Beastman,Beast,1
バーバリアン,Barbarian,Barbarian,1
マスターシーフ,Master thief,Racketeer,1
ローグリーダー,Rogue leader,Marauder,1
バンデット,Bandit,Highwayman,1
シーフ,Thief,Thief,1
ローグ,Rogue,Rogue,1
セージマスター,Sage master,Saint,1
セージ,Sage,Arch Bishop,1
ビショップ,Bishop,Bishop,1
ハイプリースト,High priest,High Priest,1
プリースト,Priest,Priest,1
バトルマスター,Battle master,Arch Monk,1
マスターモンク,Master monk,Kung Fucius,1
クンフーマスター,Kung Fu Master,Kungfu Master,1
コマンド,command,Officer,1
レンジャー,Ranger,Ranger,1
シャドウマスター,Shadow Master,Shadow Lord,1
ニンジャマスター,Ninja Master,Arch Ninja,1
ハイニンジャ,High Ninja,High Ninja,1
アサシン,Assassin,Assassin,1
ニンジャ,Ninja,Ninja,1
サムライマスター,Samurai Master,Samurai Lord,1
ケンゴウ,Kengo,Blood Samurai,1
シハンダイ,Shihandai,High Samurai,1
サムライ,Samurai,Samurai,1
スロウニン,Slownin,Shogun,1
マジックマスター,Magic master,Magic Lord,1
アークメイジ,Ark Mage,Necromancer,1
ウイザード,wizard,Illusionist,1
ソーサラー,Sorcerer,Sorcerer,1
マジシャン,magician,Magician,1
サモンマスター,Summon Master,Summon Lord,1
ロードマンナー,Roadmanner,Spirit Master,1
サモナー,Summoner,Summoner,1
ドルイド,Druid,Druid,1
シャーマン,Shaman,Shaman,1
ナイトマスター,Night master,Spirit User,1
パラディン,Paladin,Paladin,1
シルバーナイト,Silver night,Silver Knight,1
ホワイトナイト,White knight,White Knight,1
ナイト,Night,Knight,1
ソードマスター,Sword Master,Blademaster,1
ハイランダー,Highlander,Highlander,1
ウォーリアー,Warrior,Warrior,1
ソードマン,Swordsman,Swordsman,1
ファイター,Fighter,Fighter,1
エンペラー,Emperor,Emperor,1
スターロード,Star Road,Star Lord,1
ハイロード,High road,High Lord,1
ロード,Load,Lord,1
ジェネラル,general,General,1
大守,Taishou,Officer,1
師団長,Division leader,Leader,1
武将,Warlord,Warlord,1
ｿﾞﾝﾋﾞ,Zombie,Zombie,1
ﾄﾞﾗｺﾞﾆｱ,Dragonia,Dragon,1
ﾋﾞｰｽﾄ,Beast,Beast,1
ﾊｰﾋﾟｰ,Harpy,Harpy,1
ﾓﾝｸ,Monk,Monk,1
ｱｰﾁｬｰ,Archer,Archer,1
ｱｼｶﾞﾙ,Ashigal,Samurai,1
ﾒｲｼﾞ,Mage,Mage,1
ﾎ-ｽﾏﾝ,Hossman,Cavalry,1
ｿﾙｼﾞｬ-,SoulJa-,Soldier,1
-----,-----,,0
ゾンビ,zombie,Zombie,1
ドラゴニア,Dragonia,Dragon,1
ビースト,Beast,Beast,1
ハーピー,Harpy,Harpy,1
モンク,Monk,Monk,1
アーチャー,Archer,Archer,1
アシガル,Ashigal,Samurai,1
メイジ,Mage,Mage,1
ホースマン,Horseman,Cavalry,1
ソルジャー,Soldier,Soldier,1
ーーーーー,--------,,0
トリスタン,Tristan,Tristan,1
ボザック,Bossack,Bozack,1
トパーズ,Topaz,Topaz,1
トラッドノア,Trad Noah,Tradnor,1
イズモ,Izumo,Izumo,1
ムーンパレス,Moon Palace,Palemoon,1
ファンダリア,Fundaria,Fandaria,1
ハイランド,Highland,Highland,1
ﾓﾝｽﾀｰ,Monster,Monster,1
ｿ-ｻﾗ-,So-Sara-,,1
ｻﾓﾅｰ,Samon-kun,,1
ｷﾝｸﾞ,King,,1
ﾀﾞﾐｰ,Dummy,Dummy,1
ｿﾆｯｸﾌﾞｰﾒﾗﾝ,Sonic boomerang,Sonic Boomerang,1
ﾒﾀﾓﾙﾌｫｰｾﾞ,Metamorphose,Summon Guardian,1
ﾌｧﾝﾀｽﾞﾑ,Phantasm,Phantasm,1
ﾐﾗｰｼﾞｭｽﾀｰ,Mirajuster,Mirage Star,1
ﾎｰﾘｰｼｰﾙﾄﾞ,Holly shield,Holy Shield,1
ﾘｻﾞﾚｸｼｮﾝ,Resurrection,Resurrect,1
ｻﾓﾝﾄﾞﾗｺﾞﾝ,Sun Dragon,Summon Dragon,1
ｻﾓﾝﾜｲﾊﾞｰﾝ,Sam Wyvern,Summon Wyvern,1
ｻﾓﾝﾃﾞｰﾓﾝ,Daemon,Ensnare,1
ｺｰﾙｵﾌﾞﾃﾞｽ,Call of dess,Summon Reaper,1
ｻﾓﾝｺﾞｯﾄﾞ,Samongod,Thor's Fist,1
ｻﾓﾝｴﾝｼﾞｪﾙ,San Angel,Summon Angel,1
ｺﾞｰﾚﾑ,Golem,Summon Golem,1
ｳﾝﾃﾞｨｰﾈ,Undine,Trident's Daughter,1
ｼﾙﾌｨｰﾄﾞ,Silpheed,Wind Dancer,1
ｻﾗﾏﾝﾀﾞｰ,Salamander,Dante's Inferno,1
ﾄﾞﾗｺﾞﾝﾗｯｼｭ,Dragon Rush,Dragon Rush,1
ｸﾛｽﾗｯｼｭ,Crosslash,Cross Rush,1
ﾄﾞﾗｺﾞﾝｽﾋﾟﾝ,Dragon spin,Dragon Spin,1
ｽｶｲﾄﾞﾗｲﾊﾞｰ,Skid driver,Sky Driver,1
ﾄﾞﾗｺﾞﾝｸﾛｽ,Dragon Cross,Dragon Cross,1
ｿｰﾄﾞｽﾗｯｼｭ,Sword slash,Sword Rush,1
ｹﾞｲﾙﾌﾞﾚｰﾄﾞ,Gail blade,Gale Blast,1
ｸﾛｽﾌﾗｯｼｭ,Cross flash,Cross Flash,1
ﾎｰﾘｰﾌﾞﾗｽﾄ,Holly blast,Holy Blast,1
ﾌｪｱﾘｰﾚｲ,Fairy Ray,Dark Vortex,1
ﾃﾞｯﾄﾞﾘｰﾚｲ,Deadly Ray,Solar Flare,1
ｼｰﾌﾞｽﾀﾞｶﾞｰ,Sheaves Dagger,Shiva's Dagger,1
ｱｻｼﾝﾀﾞｶﾞｰ,Assassin Dagger,Assassin's Star,1
ﾄﾞﾗｺﾞﾝｿﾆｯｸ,Dragon sonic,Sonic Dragon,1
ｿﾆｯｸﾌﾞﾚｽﾄ,Sonic Breast,Sonic Blast,1
ｿﾆｯｸｳｪｰﾌﾞ,Sonic Wave,Sonic Wave,1
ｿﾆｯｸﾌﾞｰﾑ,Sonic boom,Sonic Boom,1
ﾒﾃｵｽﾄｰﾑ,Meteor Storm,Meteor Storm,1
ｻﾝﾀﾞｰﾌｫｰﾙ,Thunderfor,Thunder Fall,1
ﾌﾛｯｶﾞｰﾎﾞﾑ,Flogger bomb,Reptile Cannon,1
ｵｰﾗｼｭｰﾄ,Aura Shoot,Aura Assault,1
ﾌﾚｲﾑｷｬﾉﾝ,Frame Cannon,Flame Cannon,1
ﾒｶﾞﾄﾙﾈｰﾄﾞ,Megatorned,Mega Tornado,1
ﾊｲﾊﾟｰｽﾄｰﾑ,Hyperstorm,Hyper-Storm,1
ｶﾞｲｱﾌﾞﾚｲｸ,Guy break,Stone Pedestal,1
ｱｰｽｸｴｲｸ,Earth Quake,Quagmire,1
両武将,Both warlords,All Gen,1
敵全軍,All enemy army,All Foe,1
敵武将,Enemy warlord,Foe Gen,1
全兵士,All soldiers,All Men,1
敵兵士,Enemy soldier,Foe Men,1
自兵士,Own soldier,Our Men,1
8ﾉ;,8 no;,,0
8ﾉ;,8 no;,,0
偉;,Wei;,,0
ﾀﾌ;,Tough;,,0
ﾀﾈ;,Seed;,,0
pﾈ;,p ﾈ;,,0
ﾘﾈ;,Lineage;,,0
ﾉ;,No;,,0
ﾈ;, ﾈ;,,0
ｰﾍ;,-He;,,0
ﾎ;,E;,,0
hﾎ;,h ho;,,0
夷;,夷;,,0
ﾎ;,E;,,0
夷;,夷;,,0
ﾘﾎ;,Reho;,,0
靜;,靜;,,0
`ﾏ;,`Ma;,,0
ｿﾞﾝﾋﾞ,Zombie,Zombie,1
ﾄﾞﾗｺﾞﾆｱ,Dragonia,Dragon,1
ﾋﾞｰｽﾄ,Beast,Beast,1
ﾊｰﾋﾟｰ,Harpy,Harpy,1
ﾓﾝｸ,Monk,Monk,1
ｱｰﾁｬｰ,Archer,Archer,1
ｱｼｶﾞﾙ,Ashigal,Samurai,1
ﾒｲｼﾞ,Mage,Mage,1
ﾎｰｽﾏﾝ,Horseman,Cavalry,1
ｿﾙｼﾞｬｰ,Soldier,Soldier,1
功労者,Meritorious person,,1
%3d   %3d   %3d,% 3d% 3d% 3d,,0
あり,can be,,1
なし,none,None,1
%3d年%3d月%2d週の戦果,% 3d Year% 3d Month% 2d Week Results,Y:%3d M:%3d W:%2d,1
戦績     戦    勝    敗,Battle record Battle victory or defeat,Battles  Fought Won  Lost,1
功績          総功績,Achievement Total Achievement,Merits:         Merits:,1
総勲章数,Total number of medals,,1
で ぇ た,Deta,Data,1
いべんと,Event,Event,1
記    録,record,Archives,1
勢力地図,Power map,Map,1
内政終了,End of domestic affairs,End,1
内政実行,Domestic affairs execution,Domestic,1
%4u年%2u月%1u週,% 4u years% 2u months% 1u weeks,Y:%4u M:%2u W:%1u,0
%s帝国,%s Empire,,1
%s王国,%s Kingdom,Kingdom %s,1
君主: %s,Monarch:%s,,1
総武将数,Total number of warlords,Generals,1
%3d人,%3d People,%3d,1
総城数,Total number of castles,Castles,1
%2d個,% 2d,%2d,0
総戦闘数    %4d回,Battles    %4d,Battles:    %4d,1
総勝利数    %4d回,Total number of wins% 4d times,Won:        %4d,1
総敗北数    %4d回,Total number of defeats% 4d times,Lost:       %4d,1
終    了,end,End,1
築    城,Castle,Fortify,1
探    索,Search,Search,1
武将情報,Military commander information,Generals,1
武将会見,Military commander interview,Audience,1
アイテム,item,Items,1
勲章授与,Awarding a medal,Awards,1
取り消し,cancel,Cancel,1
所属  %s,Affiliation% s,Affiliation  %s,1
フリー,free,Free,1
君主  %s,Monarch% s,Monarch  %s,1
太守  %s,Taishou% s,Taishou  %s,1
規模  ﾚﾍﾞﾙ %d,Scale level% d,Raise Level %d,1
武将  %3d/%-3d 人,Warlords% 3d /% -3d people,Warlord  %3d/%-3d,1
兵士  %3d/%-3d 人,Soldier% 3d /% -3d people,Soldier   %3d/%-3d,1
捕虜      %3d 人,POW% 3d people,Captives %3d,1
所属    空    城,Affiliation Sky Castle,Affiliation Castle,1
君主    な    し,Monarch,Monarch,1
太守    な    し,Taishou,,1
武将  ---/%-3d 人,Warlords --- /%-3d people,Generals  ---/%-3d,1
兵士  ---/%-3d 人,Soldier --- /%-3d people,Soldiers  ---/%-3d,1
捕虜      --- 人,POWs --- People,Captives,1
ﾆｭｳｲﾝﾏﾁ,New Win Machi,,1
ﾊﾝﾗﾝ,Hanran,,1
ﾆｭｳｲﾝ,New Win,,1
ﾎﾘｮﾏﾁ,Holly Machi,,1
ﾎﾘｮ,Holly,,1
ｿﾝｻﾞｲ,Sonsai,,1
ｶｸﾚ,Kakure,,1
ﾐﾄｳﾛｸ,Mitouroku,,1
ｶﾝｾﾞﾝｼｮｳﾒﾂ,Kanzenshomen,,1
ﾀｲｼｭ,Taishu,,1
ｼﾀﾞﾝﾁｮｳ,Shidancho,,1
ｲｯﾊﾟﾝﾌﾞｼｮｳ,Ippanbusho,,1
NAME %3d:%s,NAME% 3d:% s,,0
SEX     :%s,SEX:% s,,0
MALE,MALE,,0
FEMALE,FEMALE,,0
STATUS  :%s,STATUS:% s,,0
HOSP    :%d,HOSP:% d,,0
CLASS   :%s,CLASS:% s,,0
JOB     :%s,JOB:% s,,0
KING %3d:%s,KING% 3d:% s,,0
LOCATE  :%s,LOCATE:% s,,0
FACE    :%d,FACE:% d,,0
HP   %3d:%3d/%d,HP% 3d:% 3d /% d,,0
MP      :%3d/%d,MP:% 3d /% d,,0
ATKP    :%d,ATKP:% d,,0
DEFP    :%d,DEFP:% d,,0
ESCP    :%d,ESCP:% d,,0
LEADP   :%d,LEADP:% d,,0
INT     :%d,INT:% d,,0
CHUSEIP :%d,CHUSEIP:% d,,0
WIN     :%3d/%d,WIN:% 3d /% d,,0
LOST    :%3d/%d,LOST:% 3d /% d,,0
LEVEL   :%d,LEVEL:% d,,0
EXP     :%5d/%d,EXP:% 5d /% d,,0
NAISEI  :%02x,NAISEI:% 02x,,0
:%2d %3d,:% 2d% 3d,,0
---------------,---------------,,0
%s,% s,,0
"FATKP : %d,%d,%d","FATKP:% d,% d,% d",,0
終  了,end,End,1
武将リストに戻る,Return to the military commander list,Return to Commanders,1
ｿﾞﾝﾋﾞ,Zombie,Zombie,1
ﾄﾞﾗｺﾞﾆｱ,Dragonia,Dragon,1
ﾋﾞｰｽﾄ,Beast,Beast,1
ﾊｰﾋﾟｰ,Harpy,Harpy,1
ﾓﾝｸ,Monk,Monk,1
ｱｰﾁｬｰ,Archer,Archer,1
ｱｼｶﾞﾙ,Ashigal,Samurai,1
ﾒｲｼﾞ,Mage,Mage,1
ﾎｰｽﾏﾝ,Horseman,Cavalry,1
ｿﾙｼﾞｬｰ,Soldier,Soldier,1
戦功一覧表,War merit list,Merits,1
残勲章数 %3d,Number of remaining medals% 3d,Remaing Medals %3d,1
%3d   %3d   %3d,% 3d% 3d% 3d,,0
あり,can be,,0
なし,none,None,1
%3d,% 3d,,0
なし              0,None 0,,0
総勲章数,Total number of medals,Medals,1
授    与,Awarded,Awarded,1
取り消し,cancel,Cancel,1
:%s,:% s,,0
フリー,free,Free,1
:%d,:% d,,0
功績,Achievement,Achievment,1
総功績   %3d,TotalAchievment   %3d,,1
城での回復が早い,Fast recovery in the castle,,1
凝固時間の短縮,Shortening of coagulation time,,1
最大ＨＰ %3d   %3d,Maximum HP% 3d% 3d,Max ＨＰ %3d   %3d,1
最大ＭＰ %3d   %3d,Maximum MP% 3d% 3d,Max ＭＰ %3d   %3d,1
退院できる,Can be discharged,Discharge,1
ゾンビ雇用可能,Zombies can be hired,Recruit Zombies,1
ドラゴニア雇用可能,Dragonia can be hired,Recruit Dragons,1
ビースト雇用可能,Beast can be hired,Recruit Beasts,1
ハーピー雇用可能,Harpy can be hired,Recruit Harpies,1
モンク雇用可能,Monk can be hired,Recruit Monks,1
アーチャー雇用可能,Archer can be hired,Recruit Archers,1
アシガル雇用可能,Ashigal can be hired,Recruit Samurai,1
メイジ雇用可能,Mage can be hired,Recruit Mage,1
ホースマン雇用可能,Horseman can be hired,Recruit Cavalry,1
ソルジャー雇用可能,Soldier can be hired,Recruit Soldiers,1
忠誠心を上げる,Raise loyalty,Raise Loyalty,1
内政能力 %3d   %3d,Internal affairs ability% 3d% 3d,Affairs %3d   %3d,1
指揮能力 %3d   %3d,Command ability% 3d% 3d,Command %3d   %3d,1
防御力を上げる,Increase defense,Increase Defense,1
攻撃力   %3d   %3d,Attack power% 3d% 3d,Attack   %3d   %3d,1
ＨＰ     %3d   %3d,HP% 3d% 3d,ＨＰ     %3d   %3d,1
兵士     %3d   %3d,Soldier% 3d% 3d,Soldier     %3d   %3d,1
階級     %3d   %3d,Class% 3d% 3d,Class    %3d   %3d,1
城での回復が早い,Fast recovery in the castle,城での回復が早い,1
凝固時間の短縮,Shortening of coagulation time,凝固時間の短縮,1
最大ＨＰを上げる,Increase maximum HP,Increase ＨＰ,1
最大ＭＰを上げる,Increase maximum MP,Increase ＭＰ,1
退院できる,Can be discharged,Discharge,1
ｿﾞﾝﾋﾞ雇用可能,Zombie can be hired,Recruit Zombies,1
ﾄﾞﾗｺﾞﾆｱ雇用可能,Dragonia can be hired,Recruit Dragons,1
ﾋﾞｰｽﾄ雇用可能,Beast employment available,Recruit Beasts,1
ﾊｰﾋﾟｰ雇用可能,Harpy can be hired,Recruit Harpies,1
ﾓﾝｸ雇用可能,Monk can be hired,Recruit Monks,1
ｱｰﾁｬｰ雇用可能,Archer can be hired,Recruit Archers,1
ｱｼｶﾞﾙ雇用可能,Ashigal can be hired,Recruit Samurai,1
ﾒｲｼﾞ雇用可能,Mage can be hired,Recruit Mages,1
ﾎｰｽﾏﾝ雇用可能,Horseman can be hired,Recruit Cavalry,1
ｿﾙｼﾞｬｰ雇用可能,Soldier can be hired,Recruit Soldiers,1
忠誠心を上げる,Raise loyalty,Raise Loyalty,1
内政力を上げる,Raise domestic power,Raise Power,1
指揮能力を上げる,Increase command ability,Raise Command,1
防御力を上げる,Increase defense,,1
攻撃力を上げる,Increase attack power,,1
ＨＰを回復する,Recover HP,,1
兵士を補充する,Replenish soldiers,Recruit Zombies,1
階級を上げる,Raise the rank,Recruit Beasts,1
ゾンビ雇用可能,Zombies can be hired,Recruit Harpies,1
ビースト雇用可能,Beast can be hired,Recruit Monks,1
ハーピー雇用可能,Harpy can be hired,Recruit Samurai,1
モンク雇用可能,Monk can be hired,Recruit Mages,1
アシガル雇用可能,Ashigal can be hired,Recruit Samurai,1
メイジ雇用可能,Mage can be hired,Recruit Mages,1
階級を上げる,Raise Rank,,1
アイテム授与,Award Item,Bestow Item,1
使    用,Use,,1
装    備,Equipment,,1
は ず す,Hazusu,,1
取り消し,cancel,Cancel,1
会見終了,End Audience,End,1
捕虜選択,POW selection,Captives,1
武将選択,Warlord selection,Generals,1
%3d人,% 3d people,%3d,1
武将一覧表,Commanders?,Generals,1
武将数,NumCommanders?,NumCmdr,1
捕虜一覧表,POWs?,Captives,1
捕虜数,NumPrisoners?,NumCaps,1
武将登用,AppointCmdr?,,1
取り消し,cancel,Cancel,1
捕虜武将,POW Cmdr?,,1
武将一覧表,Commanders?,,1
武将数,NumCmdrs?,,1
探  索,Search,,1
武将探索,Warlord search,,1
武将数,Num Military Cmdrs,,1
%3d人,% 3d people,%3d,1
探    索,Search,,1
取り消し,cancel,,1
Lv  %3d,Lv% 3d,,0
%3d,% 3d,,0
築  城,Castle,Fortify,1
築    城,Castle,Fortify,1
取り消し,Cancel,,1
%s,% s,,0
Lv  %3d,Lv% 3d,,0
師団,Division,,1
城,Castle, ,1
・・効果:%s,Effect:% s,Effect:%s,1
POWER:%2d,POWER:% 2d,,0
消費MP:%2d,MP consumption:% 2d,MP Consumption:%2d,1
マドルク,Madruk,,1
フリー,free,Free,1
EXP:%d,EXP:% d,,0
NEXT:%d,NEXT:% d,,0
本体ＲＡＭの空き容量が不十分です。,There is not enough free space in the main unit RAM.,,1
セガサターン本体の保存画面で、,"On the save screen of the Sega Saturn main unit,",,1
いくつかの記録を消してください。,Erase some records.,,1
このゲームの記録に必要な空き容量は,The free space required to record this game,,1
%dブロックです。,%d block.,,1
本体ＲＡＭのバックアップの,Backup of main unit RAM,,1
準備が出来ていません。,I'm not ready.,,1
セガサターン本体の保存画面で、,"On the save screen of the Sega Saturn main unit,",,1
すべての記録を消してください。,Erase all records.,,1
（初期化）,(Initialize),,1
カートリッジの空き容量が不十分です。,There is not enough free space on the cartridge.,,1
セガサターン本体の保存画面で、,"On the save screen of the Sega Saturn main unit,",,1
いくつかの記録を消してください。,Erase some records.,,1
このゲームの記録に必要な空き容量は,The free space required to record this game,,1
%dブロックです。,% d block.,,1
カートリッジＲＡＭのバックアップの,Cartridge RAM backup,,1
準備が出来ていません。,I'm not ready.,,1
セガサターン本体の保存画面で、,"On the save screen of the Sega Saturn main unit,",,1
すべての記録を消してください。,Erase all records.,,1
（初期化）,(Initialize),,1
データの更新が出来ませんでした。,The data could not be updated.,,1
歴史の書%dは使用できません。,History book%d cannot be used.,,1
複写が出来ませんでした。,Could not copy.,,1
なにをなさいますか？,What are you going to do?,,1
史書の作成が終了しました。,The creation of the history book is finished.,,1
史書を作成する場所を,Where to create a history book,,1
選んで下さい。,Please choose.,,1
更新する史書を,History books to be updated,,1
選んで下さい。,Please choose.,,1
史書を更新しました。,The history book has been updated.,,1
史書%dを更新します。,Update history%d.,,1
よろしいですか。,Is it OK.,,1
更新する史書の場所を,The location of the history book to be updated,,1
選んで下さい。,Please choose.,,1
更新できる史書が,History books that can be updated,,1
ありません。,is not.,,1
複写する史書を,History books to copy,,1
選んで下さい。,Please choose.,,1
複写できる史書が,History books that can be copied,,1
ありません。,is not.,,1
データを複写しました。,I copied the data.,,1
複写元の史書の場所を,The location of the original history book,,1
選んで下さい。,Please choose.,,1
複写元の史書を,The history book of the copy source,,1
選んで下さい。,Please choose.,,1
複写先の場所を,The location of the copy destination,,1
選んで下さい。,Please choose.,,1
消去する史書を,History books to be erased,,1
選んで下さい。,Please choose.,,1
消去できる史書がありません。,There is no history book that can be erased.,,1
史書%dを消去します。,Erase history book%d.,,1
よろしいですか。,Is it OK.,,1
データを消去しました。,I erased the data.,,1
消去する史書の場所を,The location of the history book to be erased,,1
選んで下さい。,Please choose.,,1
消去できませんでした。,Could not be erased.,,1
記録を正しく保存することが,To keep records correctly,,1
できませんでした。,I could not do it.,,1
もう一度やり直してください。,Please try again.,,1
このゲームでカートリッジＲＡＭに,In cartridge RAM in this game,,1
作成できるセーブデータは５つです。,You can create 5 save data.,,1
このゲームで本体ＲＡＭに,In the main RAM in this game,,1
作成できるセーブデータは１つです。,Only one save data can be created.,,1
ゲームの記録を保存中です。,The game record is being saved.,,1
電源を切ると記録を正しく,Record correctly when the power is turned off,,1
保存できない恐れがあります。,It may not be saved,,1
十字キーで変更対象を選択し、,Select the change target with the cross key and,,1
Ａで増加、Ｂで減少します。,A increases and B decreases.,,1
Ｒを押していると、8ずつ増加/減少します,Press R to increase / decrease by 8,,1
Ｃを押すと、フラグをON/OFFします。,Press C to turn the flag on / off.,,1
ＳＴＡＲＴを押すと終了します,Press START to finish,,1
師団構成の終端は   にして下さい。,Please end the division composition with.,,1
172,172,,0
却下,Rejected,,1
承認,Approval,,1
出陣を許しますか？,Do you allow me to go out?,,1
